dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.900939,0.999999,0.000040,0.003968,0.198413,9.920635,6.280252
0.020000,0.900925,0.999999,0.000053,0.000664,-0.165196,-18.180427,6.280294
0.020000,0.900895,0.999999,0.000083,0.001495,0.041530,10.336283,6.280387
0.020000,0.900842,0.999999,0.000136,0.002658,0.058166,0.831820,6.280553
0.020000,0.900759,0.999999,0.000219,0.004155,0.074840,0.833697,6.280813
0.020000,0.900639,0.999999,0.000339,0.005987,0.091576,0.836772,6.281187
0.020000,0.900476,1.000000,0.000502,0.008155,0.108403,0.841348,6.281697
0.020000,0.900263,1.000000,0.000715,0.010662,0.125357,0.847728,6.282363
0.020000,0.900078,1.000000,0.000900,0.009228,-0.071672,-9.851437,0.000023
0.020000,0.903716,1.000002,0.004538,0.181896,8.633403,435.253742,0.001069
0.020000,0.908111,1.000009,0.008932,0.219722,1.891261,-337.107085,0.002337
0.020000,0.913341,1.000026,0.014162,0.261500,2.088894,9.881623,0.003853
0.020000,0.919473,1.000055,0.020294,0.306605,2.255266,8.318583,0.005640
0.020000,0.926586,1.000102,0.027408,0.355667,2.453115,9.892487,0.007726
0.020000,0.934743,1.000175,0.035565,0.407888,2.611031,7.895789,0.010134
0.020000,0.943981,1.000281,0.044804,0.461928,2.701997,4.548277,0.012884
0.020000,0.954298,1.000430,0.055122,0.515894,2.698294,-0.185132,0.015984
0.020000,0.965690,1.000632,0.066516,0.569702,2.690444,-0.392483,0.019441
0.020000,0.978153,1.000898,0.078981,0.623270,2.678386,-0.602896,0.023266
0.020000,0.991682,1.001241,0.092515,0.676680,2.670469,-0.395878,0.027470
0.020000,1.006279,1.001676,0.107118,0.730168,2.674412,0.197154,0.032067
0.020000,1.021930,1.002217,0.122778,0.782991,2.641159,-1.662644,0.037067
0.020000,1.038633,1.002882,0.139494,0.835823,2.641618,0.022929,0.042488
0.020000,1.056384,1.003688,0.157264,0.888493,2.633481,-0.406825,0.048347
0.020000,1.075173,1.004657,0.176078,0.940666,2.608670,-1.240537,0.054660
0.020000,1.094990,1.005808,0.195929,0.992545,2.593956,-0.735732,0.061447
