dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.899506,0.357000,0.000196,0.019608,0.980392,49.019608,6.281656
0.020000,0.899587,0.357000,0.000277,0.004051,-0.777845,-87.911867,6.281907
0.020000,0.899769,0.357000,0.000459,0.009112,0.253058,51.545150,6.282471
0.020000,0.900781,0.357000,0.001471,0.050561,2.072464,90.970310,0.000226
0.020000,0.905323,0.357004,0.006013,0.227116,8.827739,337.763727,0.001541
0.020000,0.911163,0.357018,0.011853,0.291997,3.244061,-279.183882,0.003231
0.020000,0.918300,0.357048,0.018990,0.356871,3.243686,-0.018758,0.005295
0.020000,0.926734,0.357103,0.027424,0.421698,3.241357,-0.116447,0.007732
0.020000,0.936464,0.357192,0.037155,0.486537,3.241945,0.029423,0.010540
0.020000,0.947490,0.357326,0.048182,0.551330,3.239645,-0.114993,0.013718
0.020000,0.959811,0.357517,0.060503,0.616092,3.238111,-0.076706,0.017265
0.020000,0.973425,0.357779,0.074120,0.680846,3.237683,-0.021439,0.021178
0.020000,0.988331,0.358126,0.089031,0.745524,3.233902,-0.189043,0.025454
0.020000,1.004529,0.358576,0.105234,0.810176,3.232590,-0.065583,0.030091
0.020000,1.022015,0.359146,0.122730,0.874774,3.229889,-0.135043,0.035084
0.020000,1.040787,0.359855,0.141516,0.939291,3.225866,-0.201146,0.040431
0.020000,1.060844,0.360724,0.161591,1.003753,3.223116,-0.137529,0.046127
0.020000,1.081965,0.361762,0.182737,1.057333,2.678969,-27.207340,0.052106
0.020000,1.103717,0.362964,0.204523,1.089272,1.596988,-54.099038,0.058240
0.020000,1.125668,0.364312,0.226515,1.099596,0.516163,-54.041238,0.064408
0.020000,1.147600,0.365794,0.248497,1.099111,-0.024243,-27.020304,0.070545
0.020000,1.169512,0.367409,0.270469,1.098605,-0.025261,-0.050914,0.076650
0.020000,1.191404,0.369158,0.292431,1.098080,-0.026262,-0.050060,0.082724
0.020000,1.213274,0.371038,0.314381,1.097535,-0.027246,-0.049165,0.088763
0.020000,1.235121,0.373048,0.336321,1.096972,-0.028165,-0.045977,0.094768
0.020000,1.256945,0.375188,0.358249,1.096396,-0.028818,-0.032628,0.100737
0.020000,1.278743,0.377457,0.380165,1.095794,-0.030098,-0.064016,0.106668
0.020000,1.300515,0.379853,0.402068,1.095174,-0.031004,-0.045314,0.112561
0.020000,1.322260,0.382376,0.423959,1.094536,-0.031889,-0.044251,0.118415
0.020000,1.343976,0.385024,0.445836,1.093881,-0.032753,-0.043164,0.124228
0.020000,1.365664,0.387795,0.467701,1.093209,-0.033594,-0.042056,0.130000
0.020000,1.387322,0.390690,0.489551,1.092521,-0.034412,-0.040931,0.135729
0.020000,1.408949,0.393706,0.511387,1.091817,-0.035184,-0.038587,0.141415
0.020000,1.430545,0.396843,0.533209,1.091104,-0.035670,-0.024306,0.147056
0.020000,1.452107,0.400099,0.555017,1.090368,-0.036757,-0.054360,0.152651
0.020000,1.473637,0.403472,0.576809,1.089619,-0.037484,-0.036312,0.158200
0.020000,1.495133,0.406962,0.598586,1.088855,-0.038186,-0.035129,0.163702
0.020000,1.516594,0.410568,0.620348,1.088078,-0.038865,-0.033942,0.169156
0.020000,1.538019,0.414286,0.642094,1.087287,-0.039520,-0.032755,0.174561
0.020000,1.559408,0.418118,0.663823,1.086486,-0.040057,-0.026844,0.179917
0.020000,1.580761,0.422060,0.685537,1.085674,-0.040609,-0.027610,0.185221
0.020000,1.602076,0.426112,0.707234,1.084847,-0.041372,-0.038162,0.190475
0.020000,1.623353,0.430272,0.728914,1.084008,-0.041933,-0.028016,0.195677
0.020000,1.644592,0.434539,0.750577,1.083159,-0.042470,-0.026851,0.200826
0.020000,1.665792,0.438911,0.772223,1.082299,-0.042984,-0.025698,0.205922
0.020000,1.686953,0.443387,0.793852,1.081430,-0.043430,-0.022289,0.210965
0.020000,1.708073,0.447965,0.815463,1.080554,-0.043825,-0.019787,0.215952
0.020000,1.729153,0.452644,0.837056,1.079665,-0.044417,-0.029599,0.220885
0.020000,1.750193,0.457422,0.858631,1.078769,-0.044841,-0.021180,0.225763
0.020000,1.771191,0.462299,0.880189,1.077864,-0.045243,-0.020102,0.230584
0.020000,1.792149,0.467271,0.901728,1.076951,-0.045624,-0.019042,0.235349
0.020000,1.813064,0.472339,0.923248,1.076032,-0.045938,-0.015716,0.240057
0.020000,1.833938,0.477500,0.944750,1.075107,-0.046287,-0.017445,0.244708
0.020000,1.854769,0.482753,0.966234,1.074173,-0.046667,-0.019001,0.249300
0.020000,1.875558,0.488096,0.987699,1.073234,-0.046966,-0.014961,0.253835
0.020000,1.896305,0.493528,1.009144,1.072289,-0.047246,-0.014011,0.258311
0.020000,1.917008,0.499047,1.030571,1.071339,-0.047508,-0.013085,0.262729
0.020000,1.937669,0.504652,1.051979,1.070384,-0.047728,-0.010970,0.267087
0.020000,1.958287,0.510341,1.073367,1.069425,-0.047991,-0.013163,0.271386
0.020000,1.978862,0.516114,1.094736,1.068461,-0.048206,-0.010763,0.275625
0.020000,1.999394,0.521967,1.116086,1.067493,-0.048398,-0.009573,0.279804
0.020000,2.019882,0.527900,1.137417,1.066521,-0.048573,-0.008775,0.283923
0.020000,2.040328,0.533911,1.158728,1.065546,-0.048737,-0.008219,0.287982
0.020000,2.060730,0.539999,1.180019,1.064568,-0.048902,-0.008249,0.291980
0.020000,2.081090,0.546162,1.201291,1.063588,-0.049024,-0.006084,0.295917
0.020000,2.101406,0.552399,1.222543,1.062605,-0.049140,-0.005787,0.299794
0.020000,2.121679,0.558709,1.243775,1.061620,-0.049242,-0.005122,0.303609
0.020000,2.141910,0.565089,1.264988,1.060634,-0.049332,-0.004482,0.307364
0.020000,2.162098,0.571538,1.286181,1.059645,-0.049448,-0.005813,0.311057
0.020000,2.182243,0.578055,1.307354,1.058654,-0.049507,-0.002958,0.314689
0.020000,2.202346,0.584638,1.328507,1.057664,-0.049540,-0.001617,0.318259
0.020000,2.222406,0.591286,1.349641,1.056672,-0.049582,-0.002133,0.321768
0.020000,2.242425,0.597998,1.370754,1.055680,-0.049615,-0.001624,0.325216
0.020000,2.262401,0.604772,1.391848,1.054687,-0.049638,-0.001140,0.328602
0.020000,2.282336,0.611606,1.412922,1.053692,-0.049736,-0.004938,0.331927
0.020000,2.302230,0.618499,1.433976,1.052699,-0.049668,0.003398,0.335190
0.020000,2.322082,0.625450,1.455010,1.051706,-0.049659,0.000481,0.338392
0.020000,2.341893,0.632458,1.476024,1.050713,-0.049647,0.000600,0.341532
0.020000,2.361664,0.639520,1.497019,1.049720,-0.049628,0.000964,0.344610
0.020000,2.381395,0.646636,1.517993,1.048728,-0.049614,0.000675,0.347628
0.020000,2.401086,0.653803,1.538948,1.047735,-0.049663,-0.002432,0.350583
0.020000,2.420737,0.661022,1.559883,1.046744,-0.049534,0.006447,0.353478
0.020000,2.440348,0.668290,1.580798,1.045754,-0.049489,0.002237,0.356311
0.020000,2.459921,0.675606,1.601693,1.044765,-0.049439,0.002491,0.359083
0.020000,2.479455,0.682968,1.622569,1.043778,-0.049385,0.002725,0.361793
