dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,7.377000,5.650265,0.000196,0.019608,0.980392,49.019608,1.569975
0.020000,7.377000,5.650035,0.000426,0.011504,-0.405170,-69.278109,1.570688
0.020000,7.376999,5.651161,0.001552,0.056297,2.239605,132.238747,1.572295
0.020000,7.376993,5.653231,0.003622,0.103506,2.360461,6.042826,1.574992
0.020000,7.376976,5.656117,0.006509,0.144317,2.040537,-15.996239,1.578804
0.020000,7.376937,5.659808,0.010199,0.184523,2.010316,-1.511012,1.583769
0.020000,7.376865,5.664286,0.014677,0.223920,1.969842,-2.023712,1.589937
0.020000,7.376745,5.669530,0.019923,0.262299,1.918955,-2.544384,1.597370
0.020000,7.376560,5.675516,0.025912,0.299427,1.856423,-3.126580,1.606147
0.020000,7.376289,5.682211,0.032613,0.335036,1.780441,-3.799112,1.616362
0.020000,7.375910,5.689578,0.039989,0.368824,1.689376,-4.553209,1.628126
0.020000,7.375398,5.697570,0.047998,0.400456,1.581634,-5.387135,1.641574
0.020000,7.374726,5.706135,0.056589,0.429545,1.454453,-6.359048,1.656864
0.020000,7.373865,5.715207,0.065702,0.455638,1.304624,-7.491456,1.674179
0.020000,7.372786,5.724711,0.075267,0.478243,1.130260,-8.718168,1.693738
0.020000,7.371460,5.734558,0.085202,0.496775,0.926605,-10.182750,1.715791
0.020000,7.369862,5.744643,0.095414,0.510586,0.690546,-11.802952,1.740631
0.020000,7.367987,5.754748,0.105691,0.513868,0.164095,-26.322544,1.768303
0.020000,7.365870,5.764567,0.115735,0.502204,-0.583176,-37.363596,1.798518
0.020000,7.363567,5.773835,0.125286,0.477510,-1.234712,-32.576781,1.830869
0.020000,7.361127,5.782423,0.134213,0.446384,-1.556304,-16.079604,1.865147
0.020000,7.358584,5.790307,0.142497,0.414192,-1.609602,-2.664901,1.901418
0.020000,7.355974,5.797472,0.150123,0.381298,-1.644689,-1.754358,1.939727
0.020000,7.353335,5.803917,0.157087,0.348193,-1.655249,-0.527966,1.980085
0.020000,7.350705,5.809652,0.163397,0.315497,-1.634835,1.020680,2.022467
0.020000,7.348116,5.814707,0.169076,0.283967,-1.576461,2.918702,2.066802
0.020000,7.345594,5.819128,0.174166,0.254479,-1.474404,5.102876,2.112963
0.020000,7.343150,5.822978,0.178726,0.227985,-1.324702,7.485053,2.160764
0.020000,7.340783,5.826336,0.182835,0.205462,-1.126136,9.928318,2.209961
0.020000,7.338468,5.829295,0.186591,0.187834,-0.881414,12.236114,2.260248
0.020000,7.336162,5.831952,0.190109,0.175888,-0.597327,14.204317,2.311276
0.020000,7.333802,5.834405,0.193513,0.170187,-0.285038,15.614470,2.362656
0.020000,7.331307,5.836744,0.196933,0.171011,0.041219,16.312875,2.413985
0.020000,7.328584,5.839047,0.200500,0.178320,0.365423,16.210182,2.464862
0.020000,7.325534,5.841371,0.204335,0.191758,0.671892,15.323427,2.514907
0.020000,7.322060,5.843757,0.208549,0.210696,0.946919,13.751345,2.563779
0.020000,7.318073,5.846220,0.213235,0.234308,1.180579,11.683032,2.611189
0.020000,7.313499,5.848761,0.218468,0.261647,1.366963,9.319181,2.656906
0.020000,7.308276,5.851363,0.224302,0.291734,1.504372,6.870442,2.700760
0.020000,7.302364,5.853999,0.230775,0.323635,1.595045,4.533685,2.742638
0.020000,7.295739,5.856634,0.237905,0.356501,1.643316,2.413529,2.782482
0.020000,7.288393,5.859231,0.245697,0.389606,1.655202,0.594315,2.820276
0.020000,7.280330,5.861751,0.254145,0.422365,1.637977,-0.861266,2.856041
0.020000,7.271569,5.864160,0.263231,0.454316,1.597525,-2.022602,2.889828
0.020000,7.262134,5.866424,0.272934,0.485133,1.540852,-2.833626,2.921707
0.020000,7.252057,5.868515,0.283225,0.514582,1.472472,-3.419021,2.951763
0.020000,7.241373,5.870408,0.294076,0.542523,1.397034,-3.771887,2.980089
0.020000,7.230120,5.872085,0.305453,0.568880,1.317880,-3.957708,3.006782
0.020000,7.218335,5.873530,0.317326,0.593644,1.238196,-3.984179,3.031943
0.020000,7.206057,5.874732,0.329663,0.616821,1.158863,-3.966677,3.055668
0.020000,7.193324,5.875684,0.342432,0.638469,1.082396,-3.823333,3.078053
0.020000,7.180169,5.876379,0.355605,0.658644,1.008753,-3.682173,3.099189
0.020000,7.166627,5.876816,0.369153,0.677433,0.939447,-3.465284,3.119161
